,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
616,LK08FKV,Candover Close,2018-11-17 20:46:30+00:00,Harmondsworth Road,2018-11-17 20:49:17+00:00,445,no,Night,bus,7.17,0.81,0.43,10.01,yes,yes,1.7833333333333334
2972,LK16DEU,Berberis Walk,2018-11-17 21:39:24+00:00,Harmondsworth Road,2018-11-17 21:40:34+00:00,325,no,Night,bus,7.32,0.7,0.43,10.01,yes,no,0.16666666666666666
2986,LK16DEU,Candover Close,2018-11-17 22:08:53+00:00,Harmondsworth Road,2018-11-17 22:11:49+00:00,1520,no,Night,bus,7.55,0.7,0.457,10.01,yes,yes,1.9333333333333333
4446,YX10BFM,Berberis Walk,2018-11-18 15:21:40+00:00,Harmondsworth Road,2018-11-18 15:22:28+00:00,325,no,Afternoon,bus,12.05,0.88,0.78,10.01,yes,yes,-0.2
3034,LK16DFA,Berberis Walk,2018-11-18 16:35:05+00:00,Harmondsworth Road,2018-11-18 16:35:45+00:00,325,no,Afternoon,bus,12.38,0.81,0.44,10.01,yes,yes,-0.3333333333333333
3049,LK16DFA,Harmondsworth Lane,2018-11-18 17:07:52+00:00,Harmondsworth Road,2018-11-18 17:10:25+00:00,1075,no,Afternoon,bus,11.98,0.83,0.43,10.01,yes,no,1.55
794,LK08FKW,Berberis Walk,2018-11-18 18:57:24+00:00,Harmondsworth Road,2018-11-18 18:58:10+00:00,325,no,Evening,bus,8.7,0.97,0.91,6.01,yes,yes,-0.23333333333333334
4476,YX10BFM,Berberis Walk,2018-11-18 19:11:45+00:00,Harmondsworth Road,2018-11-18 19:12:13+00:00,325,no,Evening,bus,10.47,0.9,0.73,10.01,yes,yes,-0.5333333333333333
4525,YX10BFM,Harmondsworth Lane,2018-11-18 21:29:32+00:00,Harmondsworth Road,2018-11-18 21:31:07+00:00,1075,no,Night,bus,6.97,0.91,0.81,10.01,yes,yes,0.5833333333333334
4590,YX10BFM,Berberis Walk,2018-11-18 22:41:28+00:00,Harmondsworth Road,2018-11-18 22:42:17+00:00,325,no,Night,bus,7.5,0.93,0.82,10.01,yes,yes,-0.18333333333333332
4665,YX10BFN,Harmondsworth Lane,2018-11-19 11:18:44+00:00,Harmondsworth Road,2018-11-19 11:20:59+00:00,1075,no,Morning,bus,7.54,0.78,0.74,10.01,no,yes,1.25
